uniq_id,posted_date,job_title,salary_raw,experience_raw,skills,role,location,functional_area,industry,company,job_description,employment_type,experience_min,experience_max,salary_min,salary_max
42aacb1b47bb989db218345b3d5aa620,2019-07-05 13:20:22 +0000,Data Analyst II, Not Disclosed by Recruiter ,3 - 6 yrs,Adobe| Data mining| Executive| SQL queries| big data| Data Analyst| Analyst II| tableau| Hadoop,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
30a03c26579a62bba96eb31db353c3ed,2019-07-06 23:38:18 +0000,Consultant FRC Analytics, Not Disclosed by Recruiter ,5 - 7 yrs,Oracle| Consulting| Analytics| Financial services| Data warehousing| Business Executive,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
b0714b20623b2c7775cefc02015f78cf,2019-07-05 14:30:43 +0000,MIS Executive / Data Analyst," 1,00,000 - 2,00,000 PA. ",1 - 3 yrs,web technologies| data entry| CRM| Data Analysis| data mining,Other,Mumbai (chinchpokli,Analytics & Business Intelligence,"IT-Software, Software Services",,,,0,1,"1,00,000","2,00,000 PA."
eb3497b727a27fe1f9355e5af6b8e3a5,2019-07-07 00:38:58 +0000,Business Analyst-Subject Matter Expert, Not Disclosed by Recruiter ,2 - 5 yrs,Automation| Change management| Infrastructure management| Project management| Genetics| Application development| Business process management| Continuous improvement| Operations| digital transformation,System Design/Implementation/ERP/CRM,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
678523282d81c5af286f464b7cc70b09,2019-07-04 22:28:13 +0000,Analytics Analyst, Not Disclosed by Recruiter ,3 - 8 yrs,data science| Web analytics| Test strategy| Data Architect| Hadoop| HTML| Data analytics| Data Analyst| Digital marketing,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
876f21db85a5ae2b0a9cf380e40fa2f0,2019-07-04 17:07:34 +0000,Assistant Manager- Impairment & Forecasting-bfsi Domain-analytics Firm, Not Disclosed by Recruiter ,4 - 6 yrs,SAS| Analytics| Consulting| data analysis,Analytics & BI,Delhi NCR,Analytics & Business Intelligence,"Banking, Financial Services, Broking",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
a5595acb94d073dd3a7635e585c896b8,2019-07-04 20:42:12 +0000,Business Analyst," 2,50,000 - 3,50,000 PA. ",1 - 3 yrs,Excel| SQL Queries| Data Analysis| Business Analysis| Macros| Management Systems| Written Communication| Customer Support| Communication Skills,Analytics & BI,Pune (Kalyani Nagar),Analytics & Business Intelligence,"IT-Software, Software Services",,,,0,1,"2,50,000","3,50,000 PA."
d63d40b9b349baf6a389f73dc676d88a,2019-08-06 01:48:01 +0000,Analytics Manager," 19,00,000 - 30,00,000 PA. ",6 - 11 yrs,analytics| python| data modeling| PD| predictive modeling| predictive analytics| LGD| statistical modeling| ead| model development| machine learning,Analytics & BI,Delhi NCR,Analytics & Business Intelligence,"Banking, Financial Services, Broking",,,,0,1,"19,00,000","30,00,000 PA."
94a1c0bcd30a31f37ecde1eb3ca64a13,2019-07-04 06:30:26 +0000,Senior Analytics Consultant, Not Disclosed by Recruiter ,3 - 5 yrs,strategy consulting| new business development| excel powerpoint| analytics| team management| project delivery| analytical techniques| quality check| project planning| statistical analysis| client engagement| project management,Corporate Planning/Consulting/Strategy,Gurgaon,"Strategy , Management Consulting , Corporate Planning","KPO, Research, Analytics",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
a10235a931f1844da000862d760f9f1f,2019-08-04 09:44:48 +0000,HSBC - AVP - Business Analyst - Retail Banking & Wealth Management," 14,00,000 - 24,00,000 PA. ",9 - 13 yrs,Change Management| retail banking| requirement gathering| business transformation| business strategy| business analysis| agile,,Bengaluru,Other,"Banking, Financial Services, Broking",,,,0,1,"14,00,000","24,00,000 PA."
46095d4980f054b853d11ee1a0118a56,2019-07-06 05:45:11 +0000,Business Analyst," 2,00,000 - 4,50,000 PA. ",2 - 5 yrs,business analysis| business analyst| crm| cms| erp| agile methodology,Other,Bengaluru (Vasanth nagar),"Teaching , Education , Training , Counselling","Education, Teaching, Training",,,,0,1,"2,00,000","4,50,000 PA."
77fcc663ce0755fbbd89e096f4ad8ed9,2019-07-07 01:36:28 +0000,GeoSpatial Analytics ( TC ), Not Disclosed by Recruiter ,3 - 5 yrs,Copyright| Apr| Education| Application programming| Contractors| Time| Engineering Design| Analytics| Open,Sales Support,Bengaluru,"Sales , Retail , Business Development","BPO, Call Centre, ITeS",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
1443528bccbfb2596c071cd1bdc8f52e,2019-08-04 14:08:57 +0000,Business Analyst - Subject Matter Expert, Not Disclosed by Recruiter ,5 - 7 yrs,Training| Change management| Automation| Excel| Infrastructure management| Artificial Intelligence| Genetics| Application development| Business process management| Subject Matter Expert,System Design/Implementation/ERP/CRM,Chennai,IT Software - Other,"IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
919b6b5d501c5829f2977bd96de56abd,2019-07-04 18:59:52 +0000,"Sr. Data Analyst- Tableau, Sql Analyst", Not Disclosed by Recruiter ,6 - 10 yrs,data warehouse| Tableau| ETL| SQL,Analytics & BI,Hyderabad,Analytics & Business Intelligence,"Banking, Financial Services, Broking",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
68571b9d8a32af00df54ac64941c416c,2019-08-05 13:40:40 +0000,"Associate Director, Global Data Analytics Delivery", Not Disclosed by Recruiter ,8 - 13 yrs,MIS| Consulting| Back office| Supply chain| IT services| Automation| Information security| Data quality| IT operations| Information technology,Programming & Design,Hyderabad,IT Software - System Programming,Food Processing,,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
a917cac52f8f0a26c8336bbcb209c462,2019-08-06 08:52:39 +0000,Supply Chain Analytics Consultant, Not Disclosed by Recruiter ,6 - 8 yrs,Order management| Supply chain| SAN| Career development| Sales operations| Analytical| Consulting| Cash flow| Customer service| Software services,Voice,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations",IT-Hardware & Networking,,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
